index,uf,value
2010,RO,79.26
2011,RO,92.75
2012,RO,85.82
2013,RO,76.72
2014,RO,98.18
2015,RO,111.27
2016,RO,63.77
2017,RO,80.74
2018,RO,82.45
2010,AC,76.32
2011,AC,84.74
2012,AC,74.35
2013,AC,58.87
2014,AC,59.29
2015,AC,75.54
2016,AC,46.91
2017,AC,62.18
2018,AC,67.44
2010,AM,73.3
2011,AM,80.09
2012,AM,79.18
2013,AM,67.06
2014,AM,77.14
2015,AM,94.95
2016,AM,48.27
2017,AM,65.33
2018,AM,69.82
2010,RR,75.19
2011,RR,84.42
2012,RR,73.13
2013,RR,60.7
2014,RR,82.3
2015,RR,105.27
2016,RR,57.41
2017,RR,74.26
2018,RR,78.76
2010,PA,81.55
2011,PA,84.11
2012,PA,77.87
2013,PA,67.91
2014,PA,71.71
2015,PA,67.51
2016,PA,41.43
2017,PA,57.6
2018,PA,57.44
2010,PA,77.15
2011,PA,82.82
2012,PA,70.88
2013,PA,71.43
2014,PA,83.53
2015,PA,86.34
2016,PA,50.1
2017,PA,66.15
2018,PA,69.43
2010,AP,75.31
2011,AP,77.88
2012,AP,73.77
2013,AP,67.66
2014,AP,76.11
2015,AP,88.75
2016,AP,56.62
2017,AP,58.66
2018,AP,63.32
2010,TO,75.12
2011,TO,87.78
2012,TO,76.34
2013,TO,72.78
2014,TO,85.09
2015,TO,92.37
2016,TO,60.94
2017,TO,81.7
2018,TO,82.32
2010,MA,87.04
2011,MA,87.15
2012,MA,77.67
2013,MA,73.54
2014,MA,83.27
2015,MA,94.4
2016,MA,43.38
2017,MA,60.87
2018,MA,64.51
2010,PI,75.44
2011,PI,86.04
2012,PI,77.57
2013,PI,71.99
2014,PI,76.06
2015,PI,80.68
2016,PI,46.94
2017,PI,67.25
2018,PI,70.8
2010,CE,74.4
2011,CE,83.44
2012,CE,74.76
2013,CE,73.09
2014,CE,96.57
2015,CE,107.71
2016,CE,56.44
2017,CE,73.67
2018,CE,77.37
2010,RN,71.04
2011,RN,81.3
2012,RN,74.96
2013,RN,66.86
2014,RN,82.44
2015,RN,89.17
2016,RN,42.23
2017,RN,53.69
2018,RN,67.54
2010,PE,74.95
2011,PE,88.72
2012,PE,78.44
2013,PE,71.8
2014,PE,86.44
2015,PE,101.09
2016,PE,51.43
2017,PE,65.2
2018,PE,70.43
2010,AL,74.08
2011,AL,73.81
2012,AL,70.45
2013,AL,67.3
2014,AL,84.08
2015,AL,92.74
2016,AL,44.88
2017,AL,65.01
2018,AL,70.79
2010,SE,76.12
2011,SE,83.94
2012,SE,74.33
2013,SE,74.76
2014,SE,86.11
2015,SE,91.0
2016,SE,47.05
2017,SE,63.49
2018,SE,68.76
2010,BA,75.41
2011,BA,84.73
2012,BA,77.33
2013,BA,72.29
2014,BA,83.78
2015,BA,93.06
2016,BA,44.35
2017,BA,63.11
2018,BA,63.5
2010,MG,80.85
2011,MG,87.4
2012,MG,82.73
2013,MG,80.04
2014,MG,90.21
2015,MG,100.33
2016,MG,57.58
2017,MG,80.42
2018,MG,85.42
2010,ES,74.74
2011,ES,88.35
2012,ES,79.71
2013,ES,72.3
2014,ES,90.98
2015,ES,98.39
2016,ES,51.19
2017,ES,66.35
2018,ES,74.22
2010,RJ,67.48
2011,RJ,83.91
2012,RJ,73.71
2013,RJ,68.11
2014,RJ,84.08
2015,RJ,96.14
2016,RJ,47.98
2017,RJ,67.04
2018,RJ,61.37
2010,SP,70.36
2011,SP,84.96
2012,SP,77.28
2013,SP,73.37
2014,SP,88.2
2015,SP,98.63
2016,SP,45.94
2017,SP,67.29
2018,SP,71.52
2010,PR,75.22
2011,PR,89.97
2012,PR,79.48
2013,PR,77.59
2014,PR,86.95
2015,PR,96.41
2016,PR,55.32
2017,PR,77.66
2018,PR,81.79
2010,SC,74.18
2011,SC,88.07
2012,SC,78.79
2013,SC,72.94
2014,SC,91.81
2015,SC,100.69
2016,SC,58.88
2017,SC,75.82
2018,SC,82.43
2010,RS,67.22
2011,RS,81.99
2012,RS,72.95
2013,RS,73.47
2014,RS,84.15
2015,RS,87.69
2016,RS,53.86
2017,RS,72.54
2018,RS,74.94
2010,MS,75.77
2011,MS,89.37
2012,MS,83.46
2013,MS,81.81
2014,MS,110.11
2015,MS,113.07
2016,MS,63.55
2017,MS,78.81
2018,MS,83.52
2010,MT,73.54
2011,MT,87.4
2012,MT,81.37
2013,MT,75.04
2014,MT,92.61
2015,MT,100.32
2016,MT,58.32
2017,MT,74.28
2018,MT,76.7
2010,GO,76.25
2011,GO,96.24
2012,GO,82.52
2013,GO,79.36
2014,GO,86.63
2015,GO,93.55
2016,GO,53.6
2017,GO,73.25
2018,GO,71.85
2010,DF,80.07
2011,DF,67.7
2012,DF,64.84
2013,DF,85.83
2014,DF,89.33
2015,DF,71.55
2016,DF,75.28
2017,DF,73.82
2018,DF,73.85
