uf,ano,value
AC,2010,28.77334306
AC,2011,32.97385057
AC,2012,32.92937349
AC,2013,33.60589387
AC,2014,36.03932036
AC,2015,37.26201893
AC,2016,40.48714958
AC,2017,37.24552542
AC,2018,34.43256581
AL,2010,142.83720393
AL,2011,152.52910085
AL,2012,148.62045633
AL,2013,169.99189411
AL,2014,163.58515441
AL,2015,177.76170165
AL,2016,177.58255902000002
AL,2017,191.84031119
AL,2018,201.00911557999999
AM,2010,114.04083327000001
AM,2011,121.64307113000001
AM,2012,124.44959886
AM,2013,129.0565848
AM,2014,121.90069654
AM,2015,151.27873906
AM,2016,147.81223769
AM,2017,160.82020741
AM,2018,175.74482743
AP,2010,20.73647668
AP,2011,22.01005032
AP,2012,23.19792619
AP,2013,24.10143786
AP,2014,23.35426275
AP,2015,22.05314567
AP,2016,21.91697206
AP,2017,22.36661697
AP,2018,25.84395547
BA,2010,616.65096867
BA,2011,646.48853095
BA,2012,673.84951016
BA,2013,712.40131344
BA,2014,757.70480691
BA,2015,785.59710846
BA,2016,810.13724108
BA,2017,821.24056279
BA,2018,845.5191214399999
CE,2010,411.99471469
CE,2011,420.0715894
CE,2012,426.19592241
CE,2013,477.90599953
CE,2014,510.17737222
CE,2015,527.06298737
CE,2016,540.11435529
CE,2017,551.31737587
CE,2018,573.9567977199999
DF,2010,165.9876013
DF,2011,170.69804811
DF,2012,179.37886977
DF,2013,186.85904416
DF,2014,184.90412557
DF,2015,177.52390039
DF,2016,200.63865079
DF,2017,205.15109215
DF,2018,233.11532612000002
ES,2010,185.14001993
ES,2011,207.27586071
ES,2012,220.41266591
ES,2013,238.50484047
ES,2014,253.09793790999998
ES,2015,267.23507866
ES,2016,296.97883046
ES,2017,309.15583258
ES,2018,303.42562922999997
GO,2010,302.06794005
GO,2011,329.39699324
GO,2012,336.04781462
GO,2013,378.86610613
GO,2014,400.94373686
GO,2015,420.28024213000003
GO,2016,410.61098183
GO,2017,414.55569108000003
GO,2018,407.22031661
MA,2010,237.30451094
MA,2011,247.82881564000002
MA,2012,260.16841088
MA,2013,287.73003664
MA,2014,301.80529456
MA,2015,311.54101604
MA,2016,307.48504593
MA,2017,333.68960472000003
MA,2018,351.57200686
MG,2010,1223.76611125
MG,2011,1321.73100461
MG,2012,1402.51508139
MG,2013,1517.9732727800001
MG,2014,1658.8406668
MG,2015,1674.93960304
MG,2016,1657.93998805
MG,2017,1718.54416379
MG,2018,1790.29012608
MS,2010,145.56219466
MS,2011,149.05789687
MS,2012,152.57785242
MS,2013,168.37659575
MS,2014,174.08779131
MS,2015,186.41562622
MS,2016,190.97704715999998
MS,2017,194.54417774
MS,2018,201.93986602
MT,2010,144.50107257
MT,2011,141.44739472
MT,2012,149.61820932999998
MT,2013,156.7553852
MT,2014,164.69670799
MT,2015,173.91528836
MT,2016,181.9480818
MT,2017,185.88212914
MT,2018,190.6808126
PA,2010,512.4612380899999
PA,2011,505.0060216
PA,2012,495.6274225
PA,2013,536.87754274
PA,2014,537.32174145
PA,2015,543.61195587
PA,2016,549.91329472
PA,2017,597.83475697
PA,2018,628.44125323
PE,2010,457.83305684
PE,2011,506.15216743999997
PE,2012,541.98948637
PE,2013,645.11324798
PE,2014,703.52797101
PE,2015,717.00346719
PE,2016,733.1935544
PE,2017,792.19974781
PE,2018,800.65873001
PI,2010,148.8682473
PI,2011,148.24854298
PI,2012,150.00000986999999
PI,2013,165.82570914
PI,2014,164.80246618
PI,2015,174.85718586
PI,2016,188.67749161
PI,2017,186.60461998
PI,2018,195.93407896
PR,2010,855.48091005
PR,2011,918.92247281
PR,2012,951.80011202
PR,2013,1020.93079565
PR,2014,1063.1770838
PR,2015,1116.76428411
PR,2016,1224.6214128
PR,2017,1333.21221445
PR,2018,1453.91466328
RJ,2010,668.2492946
RJ,2011,684.60349429
RJ,2012,689.80750904
RJ,2013,718.41983103
RJ,2014,765.97617249
RJ,2015,814.7382758199999
RJ,2016,790.28230229
RJ,2017,853.54322139
RJ,2018,918.09579951
RN,2010,160.17160346
RN,2011,170.23320777
RN,2012,172.06494333999999
RN,2013,184.8896115
RN,2014,193.22760298999998
RN,2015,210.85373805999998
RN,2016,212.85444328
RN,2017,218.4474396
RN,2018,240.91986046
RO,2010,51.78482362
RO,2011,54.267636350000004
RO,2012,51.18125899
RO,2013,66.47251681
RO,2014,79.09583674
RO,2015,86.16344356
RO,2016,91.95533888
RO,2017,95.26107671
RO,2018,102.09184339
RR,2010,20.24958901
RR,2011,17.10861137
RR,2012,21.27990804
RR,2013,21.54089401
RR,2014,19.75795227
RR,2015,24.55648666
RR,2016,29.13380787
RR,2017,31.3383489
RR,2018,33.85145413
RS,2010,794.70531389
RS,2011,807.06226256
RS,2012,846.22436871
RS,2013,970.60327407
RS,2014,1025.98073227
RS,2015,1076.73554093
RS,2016,1046.6356387
RS,2017,1053.34790555
RS,2018,1074.03619948
SC,2010,444.37640013
SC,2011,482.9412673
SC,2012,507.95118258
SC,2013,573.08363811
SC,2014,626.00803837
SC,2015,649.71637314
SC,2016,663.85349272
SC,2017,676.67632329
SC,2018,711.39194508
SE,2010,78.52104022
SE,2011,78.82367385
SE,2012,83.2002152
SE,2013,86.01705789
SE,2014,83.94908041000001
SE,2015,96.66633017000001
SE,2016,102.26326446
SE,2017,99.80710565
SE,2018,107.31250679
SP,2010,2728.1768266
SP,2011,2888.08469286
SP,2012,2928.49862181
SP,2013,3137.33177916
SP,2014,3268.00880052
SP,2015,3285.22179279
SP,2016,3305.05617367
SP,2017,3361.1799453900003
SP,2018,3442.00731177
TO,2010,80.51303367
TO,2011,83.26999885000001
TO,2012,86.53459154
TO,2013,89.12561487
TO,2014,88.43627297
TO,2015,78.22751170000001
TO,2016,78.03412180000001
TO,2017,72.77216178
TO,2018,62.982094000000004
