uf,ano,value
AC,2010,32.7
AC,2011,34.93
AC,2012,28.82
AC,2013,29.36
AC,2014,28.0
AC,2015,36.4
AC,2016,36.879999999999995
AC,2017,36.18
AC,2018,39.71
AL,2010,32.06
AL,2011,39.62
AL,2012,43.2
AL,2013,44.5
AL,2014,44.45
AL,2015,50.480000000000004
AL,2016,51.230000000000004
AL,2017,49.42
AL,2018,44.87
AM,2010,23.82
AM,2011,28.89
AM,2012,29.11
AM,2013,27.19
AM,2014,25.080000000000002
AM,2015,29.27
AM,2016,36.67
AM,2017,36.56
AM,2018,37.35
AP,2010,28.14
AP,2011,28.94
AP,2012,33.08
AP,2013,31.49
AP,2014,33.29
AP,2015,35.16
AP,2016,34.18
AP,2017,31.87
AP,2018,33.56
BA,2010,30.5
BA,2011,33.49
BA,2012,36.44
BA,2013,38.95
BA,2014,39.07
BA,2015,42.57
BA,2016,44.04
BA,2017,44.22
BA,2018,43.25
CE,2010,35.24
CE,2011,35.43
CE,2012,37.8
CE,2013,39.03
CE,2014,39.04
CE,2015,44.28
CE,2016,46.02
CE,2017,48.42
CE,2018,45.75
DF,2010,31.05
DF,2011,37.54
DF,2012,37.21
DF,2013,36.99
DF,2014,39.38
DF,2015,41.47
DF,2016,44.65
DF,2017,39.93
DF,2018,39.36
ES,2010,40.59
ES,2011,41.29
ES,2012,39.9
ES,2013,41.120000000000005
ES,2014,40.11
ES,2015,44.28
ES,2016,45.71
ES,2017,45.9
ES,2018,44.52
GO,2010,30.64
GO,2011,32.36
GO,2012,33.19
GO,2013,34.2
GO,2014,36.57
GO,2015,39.04
GO,2016,41.21
GO,2017,39.81
GO,2018,39.92
MA,2010,17.09
MA,2011,19.07
MA,2012,22.72
MA,2013,25.35
MA,2014,26.14
MA,2015,28.009999999999998
MA,2016,29.93
MA,2017,29.3
MA,2018,27.88
MG,2010,51.5
MG,2011,51.34
MG,2012,51.64
MG,2013,52.22
MG,2014,51.09
MG,2015,53.68
MG,2016,55.629999999999995
MG,2017,56.650000000000006
MG,2018,55.01
MS,2010,41.94
MS,2011,42.33
MS,2012,42.54
MS,2013,42.88
MS,2014,42.78
MS,2015,44.35
MS,2016,46.730000000000004
MS,2017,47.66
MS,2018,46.68
MT,2010,38.13
MT,2011,39.9
MT,2012,38.51
MT,2013,40.97
MT,2014,41.6
MT,2015,43.14
MT,2016,43.91
MT,2017,43.82
MT,2018,43.93
PA,2010,61.81
PA,2011,64.62
PA,2012,69.52
PA,2013,74.29
PA,2014,74.04
PA,2015,77.09
PA,2016,87.02
PA,2017,85.3
PA,2018,84.88
PE,2010,39.85
PE,2011,41.97
PE,2012,42.76
PE,2013,46.93
PE,2014,47.63
PE,2015,52.34
PE,2016,57.93
PE,2017,52.54
PE,2018,51.55
PI,2010,20.03
PI,2011,23.72
PI,2012,27.560000000000002
PI,2013,29.99
PI,2014,32.32
PI,2015,35.83
PI,2016,36.24
PI,2017,34.27
PI,2018,33.97
PR,2010,42.769999999999996
PR,2011,43.54
PR,2012,43.08
PR,2013,45.89
PR,2014,46.96
PR,2015,47.75
PR,2016,48.65
PR,2017,45.410000000000004
PR,2018,45.67
RJ,2010,66.05
RJ,2011,68.45
RJ,2012,71.1
RJ,2013,74.96
RJ,2014,75.23
RJ,2015,78.8
RJ,2016,81.61
RJ,2017,79.96
RJ,2018,81.54
RN,2010,35.93
RN,2011,40.4
RN,2012,42.43
RN,2013,39.92
RN,2014,43.54
RN,2015,44.29
RN,2016,49.97
RN,2017,47.43
RN,2018,45.54
RO,2010,24.63
RO,2011,27.48
RO,2012,30.0
RO,2013,30.32
RO,2014,31.3
RO,2015,33.36
RO,2016,38.47
RO,2017,37.230000000000004
RO,2018,34.44
RR,2010,29.34
RR,2011,25.51
RR,2012,28.84
RR,2013,22.37
RR,2014,23.14
RR,2015,27.7
RR,2016,31.89
RR,2017,31.99
RR,2018,36.18
RS,2010,55.47
RS,2011,55.16
RS,2012,55.03
RS,2013,57.56
RS,2014,56.839999999999996
RS,2015,57.46
RS,2016,61.72
RS,2017,60.34
RS,2018,62.6
SC,2010,47.86
SC,2011,47.54
SC,2012,46.12
SC,2013,47.29
SC,2014,48.0
SC,2015,48.41
SC,2016,50.05
SC,2017,49.07
SC,2018,49.69
SE,2010,37.39
SE,2011,40.33
SE,2012,41.84
SE,2013,45.33
SE,2014,41.06
SE,2015,51.59
SE,2016,59.51
SE,2017,56.91
SE,2018,60.21
SP,2010,57.22
SP,2011,56.58
SP,2012,57.04
SP,2013,58.35
SP,2014,58.52
SP,2015,60.08
SP,2016,61.89
SP,2017,60.43
SP,2018,60.26
TO,2010,29.54
TO,2011,27.79
TO,2012,29.57
TO,2013,30.21
TO,2014,31.37
TO,2015,36.66
TO,2016,40.06
TO,2017,38.660000000000004
TO,2018,37.34
