 Morbidade Hospitalar do SUS - por local de residência - Brasil
AIH aprovadas por Unidade da Federação e Ano/mês processamento
Período:Jan/2008-Set/2021
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"11 Rondônia";4200;7406;4482;4436;4660;4029;7681;7698;7600;7196;7131;6704;6518;7596;7952;7985;8528;8143;8034;8090;7911;8363;8589;8573;8625;8465;8310;8644;8908;8108;8533;8410;8901;8559;8178;7887;8123;8061;8445;8836;8665;8282;8180;8520;9431;8187;8124;7473;8105;7792;8224;8458;8903;8923;8454;7927;7593;7624;7323;6525;7572;8245;9493;9430;8998;8992;8825;9331;9214;9510;9521;9084;9240;9273;9321;9919;10768;9742;9722;10019;9959;9514;9717;9464;9581;8898;9182;9015;10049;9720;10203;9438;9223;9255;9069;8398;8999;9498;9490;10080;9414;10091;9625;9389;9159;8641;8690;8634;9051;8551;9463;10066;9321;9483;9562;9410;9144;9907;9671;9806;9425;9910;10290;10282;10491;10158;9900;10320;9510;10400;9500;9426;9645;9549;9885;10874;11164;10386;10552;10103;10174;9949;10226;9649;10940;9244;9430;7583;7447;6901;8444;8629;8966;8275;9155;8227;8901;8464;9613;9938;9828;9409;8437;8663;6938;1454460
"12 Acre";2039;3036;3726;3685;3560;3961;4808;4182;4483;4079;3769;4068;4328;4169;4098;4838;4652;4260;4516;4326;73;4651;3950;4259;4375;3611;4191;4655;4430;4077;3834;3861;4007;3776;4276;3992;4639;4158;4291;4355;4268;4484;4406;3998;4180;4083;4539;4145;3888;3239;4388;4350;4431;4527;4136;4587;3748;4500;4494;3937;4144;4467;4469;4718;4076;4108;3874;4010;4119;4279;4065;4293;5060;4265;4237;4166;4504;4251;4461;4189;4277;4452;4362;3539;4161;3892;4366;3850;3930;3944;3865;4088;4282;4147;3911;3974;3482;4163;4056;3918;3992;4298;4242;4215;3930;4088;3624;3656;3420;3740;3533;3371;3534;2935;2918;3814;3871;4572;4368;3413;4506;3211;3322;4176;3326;3939;3949;3954;3619;3878;3673;2591;3239;2839;3717;2989;3579;4089;4306;3964;3829;4174;3556;3357;3726;3978;3702;2879;2981;3077;3346;3621;3359;4099;3508;3564;3811;3379;3889;4202;4501;3104;4366;4201;91;647486
"13 Amazonas";9401;12952;14959;14740;13008;14263;15665;15909;15312;14864;12636;12549;11242;10407;14723;13193;13012;13032;14166;13584;14029;13385;12906;12645;13701;12986;13321;14384;14209;14372;14297;12390;11847;14182;13750;13806;14273;13094;13992;14223;14988;14473;15604;13805;13574;13489;13291;15288;13110;13366;14272;13845;14573;14619;14648;13608;14088;14049;14339;12362;14529;13493;14034;14748;14454;14749;14697;14722;13941;13952;13383;13347;14235;12086;12339;11855;13952;12412;12323;12692;13403;13817;13446;12612;13422;13386;13425;13877;15103;15343;15733;14758;14637;14428;14258;12962;13653;14421;14856;13885;14849;15135;14259;14626;14824;12938;12783;12514;13880;12995;15288;14819;15598;15009;15595;15222;15157;15328;14070;14561;15317;14576;15370;15684;15936;15601;16067;15896;16067;16409;15428;15343;17690;15645;17071;16338;17276;16008;17347;16398;17227;17024;16418;15553;16702;15742;16526;13262;14519;15085;15196;14455;15561;15654;15374;14213;15010;17978;18083;18259;18000;18864;18347;19008;15839;2394984
"14 Roraima";1488;1830;1829;1983;2048;2049;2338;2181;1952;2567;2453;2256;2204;1984;2293;2364;3004;2593;2851;3060;3075;2141;2615;2162;2303;2054;2828;2921;2972;2942;2934;2723;2798;2608;2529;1923;1927;1940;2365;2284;1872;2052;2212;2470;2412;2328;2679;3119;2317;2738;3071;3148;3289;2960;2797;2750;2539;2151;2462;2319;2266;2377;2866;2774;3228;3285;3659;3325;2916;2690;2795;2129;2861;2872;2759;2315;2718;2529;2770;2618;2394;2465;2858;1749;2806;2969;2696;3318;2755;2589;3177;3516;3236;3248;2774;2415;2795;2467;2990;3389;3548;3453;3875;3804;3778;3795;3858;3248;3223;3047;3563;3870;3957;4001;4277;4039;3609;3707;3547;3582;3790;3828;3638;3536;3582;3751;3752;3818;3552;3994;3785;3652;3343;3138;2956;3248;3140;3691;4412;4968;4456;4360;4108;3857;3771;3853;3692;3211;2995;2907;2977;3332;3143;3548;3521;3563;3233;3367;3757;3406;3302;3352;4117;4020;3596;496213
"15 Pará";38788;41868;43147;41348;44884;43816;45484;44102;44644;44135;41114;39978;41183;41261;44651;43955;43693;43030;47495;46595;46429;46292;42987;44113;43928;44297;45969;43919;46654;44725;43918;43626;45171;44340;43676;43153;45202;43909;44607;44085;40900;44094;40949;40809;44309;42779;42141;42278;43103;42147;43481;42816;43607;42303;41108;33366;41684;40574;39276;39589;40034;41990;43369;43071;43358;42889;42137;41346;41558;41877;41037;41367;39689;40428;41798;42027;42145;42373;40786;41668;42551;41279;41573;39462;39438;38921;40117;41080;40886;40825;40222;41056;39769;39777;37271;37555;37712;41112;39018;39876;39471;38731;39259;41029;39640;40063;36812;36388;38276;39241;38688;39973;40142;40827;39826;40541;42984;42974;41126;41428;39964;39798;41064;42395;42056;41914;41245;42218;43000;44691;41647;39926;38714;39879;40954;42327;42941;41977;38316;39096;41604;42448;41581;40940;40026;41430;39942;31099;30200;32460;33781;39172;36566;37619;38613;37505;37830;37555;38370;38689;42229;39433;39189;36392;12859;6771004
"16 Amapá";2432;2665;2310;2323;1675;2683;2761;2727;3135;3474;2761;2785;2906;3339;3160;3555;2992;2954;3183;3094;3135;3091;3260;2917;3011;2929;2813;2665;2748;2989;3012;2839;3195;2864;3167;3231;2949;2841;2405;3004;3224;3033;3341;2954;3046;2870;2928;3114;2959;2824;2973;3016;3110;3114;3108;3150;3183;3166;3244;3114;3202;2777;2810;3136;3257;3081;3048;3222;3094;3057;3126;2931;3059;2884;2776;3026;3302;2390;3233;3130;3059;3041;2681;2837;2617;2240;2676;2891;2805;3021;2900;2695;3039;2920;2709;2645;2495;2386;2417;2566;2595;2825;2848;2645;2719;2580;2620;2659;2659;2553;2656;2535;2914;2727;2676;2723;2945;2803;2755;2402;2562;2760;2926;2627;2428;3124;2809;3391;3538;3724;3282;3450;3531;3308;3388;3362;3421;3068;3322;3430;3212;3234;3227;3058;3036;3138;2350;1972;2067;2279;2911;2964;2788;2296;2296;2846;2747;3183;3191;3165;3199;3348;3288;3197;3371;482284
"17 Tocantins";6561;7624;9477;8389;8648;8161;8739;8347;8648;8109;8231;7601;7719;8434;8644;8376;8754;8786;8208;8339;8270;8368;8278;7723;8517;8442;8735;8905;9086;8809;8737;8926;8844;8690;8731;7901;8730;8828;8982;9223;9374;9262;8786;8343;8409;8809;9411;9800;9358;9057;9958;9602;9326;9443;8570;8863;8332;8325;7697;7549;7808;8318;9183;9311;9327;9316;8399;9207;8620;9328;8456;8166;8805;8654;8988;8590;8523;8125;8216;9181;9256;9262;8369;7043;7283;6939;7412;8048;7053;7410;7464;6933;6523;6526;6511;5454;5960;6860;7226;6860;6906;6884;7079;6611;6371;6193;6676;6546;6132;6339;7464;6611;7345;6848;6097;6964;7062;5749;6088;6008;6158;5735;6624;5426;6113;6471;5980;6124;5597;5580;5434;5433;5919;6353;6325;6672;7111;6352;7305;7739;8508;7441;6654;7303;7690;7022;7049;6328;6401;6194;6841;6444;6253;6360;6283;5695;6431;6554;7225;6996;6957;7258;7098;6999;683;1256798
"21 Maranhão";22524;27137;28108;29941;29741;30708;31236;30872;30045;31875;28713;28544;27363;29416;30021;31680;31920;32011;32597;33441;34076;34267;32615;32786;33646;31708;35053;33819;35049;34882;34957;34772;33821;35603;36028;34192;34719;34635;35762;35909;34567;34434;34523;34351;34428;35680;34821;35840;34679;33899;34950;36298;37186;34570;35543;34322;33993;31996;31602;29194;32710;32803;34206;35385;35375;36033;36434;36599;36399;36320;35881;35097;35770;34287;34856;35509;36721;35791;36458;36660;37379;34807;35385;33633;33519;34145;37875;36725;38000;37518;37429;36981;36195;36517;34906;34658;35566;34899;35916;36302;36752;35915;35173;35997;35382;33550;32199;27787;31872;35715;37591;35802;37601;37759;39289;37422;37488;36344;36797;38959;39915;36684;39913;41227;41108;39817;39898;40297;39092;39609;38620;37918;39329;36336;39662;40177;41123;38815;39212;39129;39282;39831;38354;36927;38550;37096;35868;28873;30141;29660;31691;32461;32730;35007;33971;32053;34353;34178;38117;35828;38598;36906;35186;32510;29016;5771179
"22 Piauí";14819;17733;17293;17878;18277;17988;18873;17916;18356;18868;17750;16515;16388;16848;17738;18478;19736;20200;19858;19092;18781;18521;18621;18957;19945;18414;20201;19391;20297;19580;18932;18498;18192;18374;18255;17978;18729;17998;19666;19130;18823;17584;18589;17807;18599;17883;17761;17514;18255;16455;17792;17721;18596;17812;17659;18336;18005;16955;16727;15116;17466;17004;17957;18242;19190;18494;18459;18736;16922;17594;16574;15840;18154;16609;17720;17300;17774;17056;16461;16948;17400;17208;16164;15272;16259;15861;16878;17543;18332;17122;16829;17303;16950;17830;18008;16686;17403;17201;18113;17767;18139;18348;17890;17737;17705;17052;16707;16227;16711;15940;16771;17160;18039;16993;16938;17208;17440;16506;16224;17187;17067;16448;17793;17676;17989;17871;17654;17921;17446;17398;16902;17658;17157;16427;17397;17409;18056;18015;17921;18215;18211;18900;18069;17744;17298;16997;15415;12011;12662;13078;13884;14566;14165;15433;14683;14996;16954;15828;15670;15754;16804;17575;16842;17433;14872;2874868
"23 Ceará";29761;40106;42910;44938;44531;44153;43502;42201;42919;40176;34275;38426;36598;38300;45444;43470;44383;42974;42708;43207;42374;42202;41714;39714;39867;40231;42685;42557;43749;42502;41777;42728;41229;40022;40650;38822;40580;41827;41771;41939;37742;41049;41899;40122;39700;40905;40716;40089;38050;36634;38956;39725;40271;39776;37479;37820;36812;35624;35986;34055;34751;35343;38338;40963;41641;39132;40671;39587;41027;42106;38598;37746;39821;38276;39028;39621;42344;39855;42145;40928;41962;39668;40702;39379;38352;36796;40464;41054;42356;40809;41434;41855;41693;40467;39906;38129;38181;37665;39325;41109;41848;40989;39918;40696;40102;39734;38911;37578;37245;37096;40061;38912;41037;39906;40491;40849;39886;40791;39995;38129;40954;38704;42895;43508;43691;42572;43385;43903;41141;43141;41286;39754;44590;42287;43916;44739;46058;44257;44915;45168;44683;44976;42771;43109;43640;40984;41268;35157;34264;36586;38106;36519;36589;39022;38830;36488;37535;39213;41683;43746;44770;50518;43394;39886;38038;6687372
