 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Unidade da Federação e Ano/mês processamento
Período:Jan/2008-Set/2021
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"11 Rondônia";4200;7403;4479;4434;4657;4027;7679;7696;7598;7194;7128;6703;6517;7594;7949;7983;8526;8140;8032;8088;7909;8361;8587;8572;8624;8464;8306;8641;8907;8106;8532;8408;8900;8557;8176;7886;8122;8059;8444;8834;8663;8281;8178;8515;9427;8184;8122;7472;8104;7790;8221;8457;8902;8922;8453;7926;7592;7623;7322;6524;7571;8243;9491;9428;8995;8989;8822;9330;9211;9508;9519;9083;9239;9272;9319;9919;10765;9741;9721;10018;9958;9513;9716;9463;9581;8896;9181;9012;10049;9720;10203;9437;9223;9255;9068;8398;8999;9496;9489;10080;9414;10091;9625;9389;9157;8638;8690;8634;9051;8550;9462;10065;9320;9483;9562;9409;9144;9907;9671;9805;9424;9909;10289;10282;10491;10157;9899;10320;9510;10400;9499;9425;9645;9549;9885;10874;11164;10386;10552;10103;10173;9948;10225;9649;10940;9244;9430;7583;7447;6901;8444;8629;8966;8275;9155;8226;8901;8463;9613;9938;9828;9409;8437;8663;6938;1454276
"12 Acre";2039;3036;3726;3685;3560;3961;4808;4182;4483;4079;3769;4068;4328;4169;4098;4835;4652;4260;4516;4326;73;4651;3950;4259;4375;3611;4191;4655;4430;4077;3834;3861;4007;3776;4276;3992;4639;4158;4291;4355;4268;4484;4395;3994;4174;4080;4519;4136;3853;3227;4379;4311;4409;4503;4122;4587;3728;4477;4478;3923;4126;4434;4447;4695;4058;4093;3855;3995;4105;4262;4046;4281;5040;4250;4225;4150;4495;4239;4451;4185;4259;4427;4353;3529;4150;3876;4366;3846;3924;3944;3851;4077;4279;4133;3901;3969;3461;4151;4053;3914;3973;4293;4231;4200;3919;4083;3604;3654;3414;3716;3530;3361;3507;2918;2914;3785;3853;4567;4325;3391;4498;3182;3320;4161;3296;3926;3932;3934;3610;3863;3661;2583;3239;2836;3715;2989;3579;4089;4305;3964;3829;4174;3556;3339;3724;3975;3677;2860;2973;3057;3337;3619;3318;4077;3508;3564;3793;3368;3851;4188;4501;3104;4366;4201;91;645953
"13 Amazonas";9401;12898;14911;14689;12960;14215;15618;15860;15264;14815;12587;12500;11196;10356;14676;13146;12965;12987;14121;13538;13982;13339;12858;12598;13652;12938;13271;14334;14162;14326;14251;12346;11818;14151;13716;13776;14243;13066;13980;14188;14960;14445;15563;13804;13573;13463;13261;15256;13079;13335;14242;13812;14529;14580;14609;13573;14058;14017;14303;12325;14496;13460;14004;14717;14415;14699;14665;14684;13900;13915;13350;13332;14207;12057;12329;11851;13943;12403;12319;12691;13393;13814;13442;12611;13418;13382;13423;13876;15100;15340;15732;14756;14636;14427;14257;12961;13635;14420;14855;13883;14842;15134;14257;14622;14821;12936;12780;12514;13880;12995;15285;14819;15598;15006;15592;15222;15153;15328;14060;14559;15317;14576;15369;15683;15936;15598;16066;15895;16063;16409;15427;15339;17689;15645;17071;16338;17275;16007;17347;16398;17226;17024;16417;15550;16701;15741;16522;13261;14518;15084;15195;14454;15557;15653;15373;14212;15009;17977;18082;18257;17999;18863;18346;19007;15838;2392000
"14 Roraima";1488;1830;1829;1983;2048;2049;2338;2181;1952;2567;2453;2256;2204;1984;2293;2364;3004;2593;2851;3060;3075;2141;2615;2162;2303;2054;2828;2921;2972;2942;2934;2723;2798;2608;2529;1923;1927;1940;2365;2284;1872;2052;2212;2470;2412;2328;2679;3119;2317;2738;3071;3148;3289;2960;2797;2750;2539;2151;2462;2319;2266;2377;2866;2774;3228;3285;3658;3325;2916;2690;2795;2129;2861;2872;2759;2315;2718;2529;2770;2618;2394;2465;2858;1749;2806;2968;2696;3318;2755;2589;3177;3516;3236;3248;2774;2415;2795;2467;2990;3389;3548;3453;3875;3804;3778;3795;3858;3248;3223;3047;3563;3870;3957;4001;4277;4039;3609;3707;3547;3582;3790;3828;3638;3536;3582;3751;3752;3818;3552;3993;3784;3652;3343;3138;2956;3248;3140;3691;4412;4968;4456;4360;4108;3857;3771;3853;3692;3211;2995;2907;2977;3332;3143;3548;3521;3563;3233;3367;3757;3406;3302;3352;4117;4020;3596;496209
"15 Pará";38788;41830;43066;41263;44808;43744;45418;44034;44571;44062;41038;39893;41110;41189;44572;43879;43617;42953;47420;46524;46356;46218;42917;44046;43862;44268;45844;43835;46581;44690;43846;43577;45106;44270;43611;43096;45129;43835;44526;44013;40825;44028;40896;40754;44254;42744;42053;42226;43057;42096;43435;42770;43556;42265;41060;33336;41639;40535;39253;39557;40006;41959;43339;43043;43329;42869;42114;41324;41533;41859;41018;41342;39665;40404;41775;42003;42121;42351;40759;41641;42525;41255;41550;39438;39415;38896;40090;41053;40860;40822;40220;41030;39767;39771;37267;37549;37710;41096;39003;39875;39469;38729;39257;41028;39639;40060;36811;36383;38270;39238;38686;39970;40141;40825;39823;40540;42980;42971;41124;41427;39963;39796;41060;42392;42053;41912;41241;42215;42999;44691;41645;39924;38711;39878;40950;42322;42939;41975;38314;39094;41599;42446;41577;40938;40023;41426;39937;31096;30198;32458;33780;39169;36562;37616;38608;37503;37828;37554;38370;38686;42228;39432;39187;36391;12858;6766305
"16 Amapá";2432;2665;2310;2323;1675;2683;2761;2727;3135;3474;2761;2785;2906;3339;3160;3555;2992;2954;3183;3094;3135;3091;3260;2917;3011;2929;2813;2665;2748;2989;3012;2839;3195;2864;3167;3231;2949;2841;2405;3004;3224;3033;3341;2954;3046;2870;2928;3114;2959;2824;2973;3016;3110;3114;3108;3150;3183;3166;3244;3114;3202;2777;2810;3136;3257;3081;3048;3222;3094;3057;3126;2931;3059;2884;2776;3026;3302;2390;3232;3129;3058;3040;2680;2836;2617;2238;2675;2890;2804;3021;2899;2695;3039;2918;2709;2644;2493;2386;2417;2566;2595;2825;2848;2645;2719;2580;2620;2659;2659;2553;2656;2535;2914;2727;2676;2723;2945;2803;2755;2402;2562;2760;2926;2627;2428;3124;2809;3391;3538;3721;3282;3450;3531;3308;3388;3362;3421;3068;3322;3430;3212;3234;3227;3058;3036;3138;2350;1972;2067;2279;2911;2964;2788;2296;2296;2846;2747;3183;3191;3165;3199;3348;3288;3197;3371;482264
"17 Tocantins";6561;7536;9381;8286;8549;8072;8641;8255;8550;8010;8128;7497;7631;8326;8532;8284;8664;8703;8130;8251;8196;8286;8191;7618;8429;8354;8647;8812;8985;8712;8644;8833;8745;8587;8624;7791;8624;8722;8872;9119;9269;9166;8687;8252;8322;8714;9309;9696;9241;8958;9877;9490;9219;9332;8458;8763;8228;8206;7695;7477;7728;8208;9069;9212;9229;9300;8391;9195;8611;9326;8453;8164;8805;8654;8988;8590;8521;8124;8215;9178;9254;9261;8368;7041;7283;6938;7410;8045;7050;7408;7464;6931;6521;6524;6510;5451;5957;6855;7224;6857;6902;6882;7077;6607;6367;6190;6670;6543;6127;6335;7457;6605;7340;6844;6093;6960;7057;5746;6087;6006;6157;5734;6621;5425;6110;6468;5979;6121;5594;5578;5430;5429;5916;6351;6321;6668;7109;6350;7302;7736;8505;7436;6650;7299;7686;7020;7045;6324;6398;6190;6837;6442;6249;6355;6279;5693;6428;6550;7220;6993;6953;7255;7095;6997;681;1250324
"21 Maranhão";22524;26990;27612;29425;29192;30083;30722;30265;29407;31270;28123;27937;26765;28814;29451;31081;31338;31418;32028;32862;33472;33658;32002;32190;33039;31127;34466;33217;34431;34320;34365;34193;33325;35036;35394;33631;34153;34068;35208;35342;34020;33883;33965;33785;33945;35094;34314;35330;34211;33425;34466;35816;36718;34121;35073;33857;33545;31527;31127;28794;32337;32346;33721;34886;34927;35590;36040;36113;35989;35885;35460;34702;35382;33895;34452;35096;36354;35364;36065;36223;36958;34406;34974;33225;33097;33719;37396;36261;37515;37099;36951;36519;35730;36105;34457;34203;35115;34463;35441;35846;36320;35495;34740;35552;34968;33108;31746;27320;31407;35295;37119;35324;37129;37322;38835;36981;37019;35906;36384;38479;39467;36281;39441;40770;40663;39389;39505;39938;38739;39299;38358;37644;39017;36046;39370;39874;40765;38432;38786;38715;38883;39432;37925;36536;38149;36647;35458;28467;29648;29177;31255;32004;32277;34565;33568;31667;33950;33760;37694;35405;38188;36488;34798;32107;28637;5694900
"22 Piauí";14819;17638;17183;17794;18179;17891;18779;17825;18251;18779;17668;16423;16280;16752;17635;18381;19637;20096;19765;18995;18711;18426;18514;18846;19849;18309;20083;19305;20209;19475;18820;18403;18103;18280;18151;17874;18651;17900;19546;19042;18710;17453;18467;17705;18477;17791;17652;17394;18157;16357;17693;17605;18484;17710;17543;18221;17903;16853;16615;14998;17343;16903;17846;18140;19066;18377;18350;18603;16807;17488;16466;15721;18045;16484;17611;17190;17672;16966;16366;16840;17304;17111;16054;15155;16144;15741;16754;17414;18180;16989;16700;17182;16820;17695;17881;16557;17281;17083;17996;17651;18012;18221;17767;17615;17593;16932;16578;16091;16591;15822;16638;17042;17912;16881;16821;17094;17315;16369;16109;17066;16956;16332;17683;17550;17862;17753;17521;17786;17319;17275;16781;17541;17042;16316;17277;17291;17940;17883;17794;18089;18076;18762;17942;17607;17182;16871;15304;11886;12557;12987;13791;14472;14083;15339;14583;14897;16853;15729;15560;15652;16695;17470;16736;17319;14765;2856609
"23 Ceará";29761;39532;42263;44165;43788;43431;42763;41527;42185;39437;33533;37749;35777;37516;44646;42728;43619;42256;42007;42490;41670;41515;41015;38984;39232;39511;41941;41841;43048;41792;41104;42037;40588;39324;39975;38119;39924;41109;41166;41387;37217;40605;41305;39563;39174;40323;40153;39609;37553;36088;38385;39570;39758;39224;36891;37274;36305;35119;35512;33527;34328;34878;37898;40385;41134;38643;40166;39125;40550;41631;38119;37202;39448;37810;38550;39156;41841;39390;41647;40447;41503;39235;40231;39004;37961;36295;39979;40596;41882;40373;40963;41347;41212;39992;39429;37603;37761;37209;38861;40714;41438;40533;39478;40239;39706;39291;38475;37132;36811;36669;39588;38463;40619;39505;40072;40421;39453;40366;39580;37662;40517;38264;42433;43085;43253;42121;42971;43480;40638;42685;40843;39304;44183;41859;43432;44257;45565;43809;44463;44749;44248;44532;42345;42680;43198;40585;40831;34798;33959;36272;37768;36153;36211;38635;38436;36077;37207;38797;41283;43407;44366;50144;43023;39479;37620;6603574
