 Morbidade Hospitalar do SUS - por local de residência - Brasil
Valor médio intern por Unidade da Federação e Ano/mês processamento
Período:Jan/2008-Set/2021
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"11 Rondônia";361,42;431,60;417,62;434,47;428,51;470,55;430,66;457,72;465,44;468,11;465,29;495,64;475,19;414,65;495,29;488,78;476,01;489,65;494,85;462,46;496,51;491,78;489,06;502,21;443,56;457,85;498,26;527,05;548,69;583,60;601,13;558,54;614,74;560,63;579,21;557,57;578,33;531,20;557,04;620,95;590,72;598,25;591,59;659,80;624,59;557,83;599,26;529,41;542,38;626,17;648,26;585,95;567,92;629,57;598,76;572,86;604,81;586,05;529,08;563,26;602,70;614,96;600,65;653,46;690,69;622,92;680,96;707,36;752,34;696,12;713,50;709,07;676,84;748,98;754,84;709,87;716,22;794,25;747,93;776,91;766,78;682,32;691,93;760,62;814,83;775,99;843,88;811,64;860,35;836,88;883,67;795,93;854,60;801,68;754,82;829,41;914,47;882,66;832,30;846,07;855,26;878,24;919,48;925,54;931,33;914,34;859,72;879,68;893,74;829,73;873,14;951,64;874,49;869,26;917,00;862,77;924,36;910,09;904,67;830,13;873,93;943,46;901,71;907,49;855,47;845,56;891,36;948,07;819,44;880,08;954,01;948,57;1027,46;903,37;984,77;934,06;937,38;825,65;988,95;940,12;932,66;1062,26;973,45;885,02;857,87;867,03;894,14;1026,08;1064,47;1358,19;1447,41;1387,51;1175,12;1012,82;1077,13;1099,59;1139,43;1233,79;1616,75;1624,85;1740,00;1680,87;1744,80;1483,86;1618,07;797,88
"12 Acre";441,83;523,73;544,09;507,72;575,49;518,21;555,46;556,15;533,52;502,18;533,13;592,39;575,74;560,94;575,23;636,00;632,58;638,17;648,25;603,26;5685,03;654,51;638,79;642,35;599,74;699,58;595,69;641,71;682,54;610,51;619,88;639,55;657,76;628,67;626,09;653,46;700,48;652,32;635,40;675,94;727,72;645,14;782,35;771,01;727,61;743,88;707,69;721,87;663,23;682,78;675,07;719,51;691,38;680,57;664,64;709,43;658,27;723,08;798,70;732,10;662,09;682,20;687,04;675,22;739,10;654,69;693,06;721,07;720,23;657,31;784,53;656,22;666,10;678,19;723,80;772,03;694,02;736,77;730,71;777,48;708,47;782,04;734,97;749,05;807,73;791,01;710,84;839,65;824,62;823,07;779,30;818,07;775,50;779,49;804,29;771,84;886,72;840,78;779,41;892,09;801,95;942,92;923,60;886,24;930,86;775,43;874,16;951,67;806,21;937,67;903,58;889,00;949,26;840,08;918,40;880,84;721,56;1011,97;949,60;791,44;841,11;842,00;849,86;807,91;743,94;865,67;862,49;791,55;738,16;751,40;991,17;915,41;894,92;739,74;812,99;899,10;840,67;832,30;775,59;834,45;845,60;836,33;895,08;848,50;936,73;959,70;885,87;841,59;967,05;989,70;1142,73;1064,23;1098,35;1011,94;1039,90;1047,30;1058,20;1049,87;1095,71;1507,58;1391,70;1181,79;1206,66;935,45;7256,11;775,07
"13 Amazonas";516,58;569,65;560,04;577,95;619,76;612,70;616,20;618,14;634,01;599,90;540,54;654,32;694,83;689,23;696,06;699,16;721,44;716,94;701,07;732,82;718,66;717,99;668,00;750,65;711,66;692,77;712,21;701,75;702,45;776,71;743,56;727,56;723,56;701,29;751,89;704,54;701,22;695,53;697,45;750,79;757,53;730,69;798,94;721,86;766,57;759,98;734,97;780,56;832,21;849,57;755,06;750,56;777,70;748,92;811,80;784,09;786,91;772,85;725,37;769,48;755,53;753,21;761,56;812,85;758,94;778,54;751,20;854,91;818,35;855,95;801,01;791,66;817,05;751,52;819,89;822,69;877,19;842,12;832,75;836,25;849,31;812,53;834,92;869,09;886,79;932,19;896,04;931,18;872,56;898,63;933,47;874,94;929,67;919,15;931,96;909,32;834,94;871,34;898,93;913,13;935,78;905,02;921,04;953,13;959,43;907,47;913,77;931,79;956,05;889,99;950,71;876,16;964,69;893,52;946,45;995,16;918,82;985,87;990,16;949,28;936,45;929,07;960,18;959,84;963,91;965,10;967,64;948,78;1028,27;1079,50;1040,12;977,17;987,35;969,28;1012,67;1026,55;1003,20;1006,04;987,10;991,54;1034,81;994,67;1013,15;988,33;1030,68;1011,84;976,05;1054,72;1380,39;1406,69;1314,05;1279,25;1187,65;1082,86;1361,27;1285,46;1505,93;1600,56;1405,43;1331,06;1491,74;1424,96;1373,26;1225,45;1302,13;898,21
"14 Roraima";445,43;432,10;420,18;442,70;430,39;447,86;464,92;428,32;525,06;477,57;480,51;572,71;523,29;524,66;661,14;572,90;571,62;591,24;586,84;635,13;589,44;642,77;593,29;810,90;644,35;666,14;698,61;671,19;630,19;650,28;656,87;627,20;710,99;737,63;692,44;685,69;710,53;703,99;617,02;628,86;617,45;683,77;660,60;758,08;753,60;674,10;648,29;672,87;671,12;724,36;729,10;683,26;719,91;673,09;667,28;728,73;711,51;757,35;729,72;731,93;714,01;726,25;703,31;674,71;611,58;651,54;658,34;637,28;698,28;689,59;712,79;709,16;677,83;620,00;690,19;780,43;748,95;654,11;704,32;758,64;804,74;788,08;704,09;733,55;677,69;795,48;737,51;730,22;735,01;670,19;675,88;834,13;833,85;747,10;844,60;915,52;693,99;793,47;760,26;849,37;806,97;784,16;853,80;814,81;804,81;769,48;699,80;803,03;812,18;822,99;783,80;725,77;725,21;797,74;722,62;795,68;817,28;741,86;761,83;835,90;840,91;813,64;852,76;818,27;880,23;906,35;852,62;783,25;824,39;856,58;836,93;876,02;820,78;874,56;760,33;870,56;949,51;896,87;758,39;853,51;788,55;780,06;855,52;926,10;894,63;831,96;905,40;983,76;1013,22;1207,08;1065,84;880,11;1021,52;926,16;1133,09;1004,43;1049,84;1116,04;1243,12;1560,60;1373,81;1027,88;1006,12;1075,41;968,81;777,13
"15 Pará";492,31;477,15;518,61;515,98;526,68;538,42;536,23;540,00;573,31;551,36;534,32;608,91;607,76;593,87;606,76;614,35;613,56;604,43;604,18;601,39;613,68;625,58;602,92;609,68;597,46;608,44;604,28;599,91;603,47;611,98;619,85;621,72;618,67;622,79;627,62;613,16;627,80;622,61;616,12;643,29;632,43;656,51;614,74;642,20;647,24;650,84;626,84;630,51;641,46;641,94;637,99;641,44;636,26;634,34;658,11;634,28;657,55;675,47;681,73;707,58;659,49;659,49;653,11;664,84;682,11;716,96;708,49;691,42;701,63;693,53;717,35;749,92;694,86;703,02;703,59;690,51;700,48;727,44;709,15;692,92;693,04;746,22;702,81;738,58;738,26;748,63;741,64;760,73;746,30;733,68;772,31;786,74;772,74;759,19;798,14;755,28;747,55;734,01;749,79;771,55;761,73;810,81;783,39;747,56;793,39;816,05;803,60;815,78;818,73;793,36;824,49;825,52;775,98;797,94;847,78;818,50;830,89;806,13;825,03;841,85;816,55;800,98;814,19;839,12;826,02;870,61;828,24;864,06;825,70;852,06;846,14;875,69;884,80;842,05;820,63;872,76;845,73;855,30;795,02;821,07;837,35;870,35;899,75;892,76;877,41;924,71;910,10;927,80;1106,87;1324,36;1223,82;1150,45;1020,72;1012,32;1032,39;1036,06;1052,55;1059,29;1086,29;1216,56;1328,91;1236,25;1190,76;1221,72;1192,76;749,05
"16 Amapá";465,32;482,02;441,48;519,56;553,43;603,32;534,67;549,19;541,44;555,07;511,32;624,40;566,65;521,50;555,50;575,75;638,95;602,76;547,92;550,27;642,21;596,86;568,14;588,92;601,62;538,61;560,58;584,84;596,33;583,35;604,47;595,97;546,13;610,14;621,69;605,83;664,32;605,12;691,24;655,10;615,76;659,64;581,68;564,79;661,47;615,02;602,73;655,49;581,80;655,65;616,93;601,16;616,14;635,47;666,10;678,82;667,13;642,20;657,62;662,70;602,51;681,45;639,78;668,99;682,04;745,10;756,78;652,42;646,72;690,16;700,31;689,42;656,74;661,32;656,96;657,02;661,94;778,00;727,82;720,95;663,49;649,71;673,60;638,73;630,84;638,88;677,44;642,83;686,92;668,65;709,40;688,87;711,76;682,28;741,87;700,59;667,84;687,83;723,17;737,57;769,89;819,86;742,15;823,33;719,25;721,96;769,87;723,76;750,81;750,28;737,69;665,25;712,68;772,71;759,03;763,14;704,40;734,35;731,20;814,93;838,20;781,33;699,73;688,24;811,29;732,99;773,81;759,60;789,92;744,62;708,73;833,17;765,96;700,69;826,78;892,97;834,50;730,04;745,76;828,64;682,21;783,98;768,22;830,76;801,22;770,31;792,66;868,85;1075,99;872,86;1128,86;968,56;843,85;1019,12;980,22;974,52;1020,39;912,58;990,53;1147,87;1332,95;1188,59;1545,63;1545,32;1466,35;720,99
"17 Tocantins";529,87;657,18;662,32;599,78;639,59;613,88;633,74;664,74;653,93;582,50;653,47;742,39;750,21;696,23;731,48;797,34;761,74;739,29;760,57;774,37;803,83;772,19;750,63;784,90;763,75;745,53;774,89;770,60;744,44;788,92;756,44;782,14;735,27;775,72;742,24;824,59;771,15;772,65;826,62;766,94;780,38;780,38;806,56;771,06;802,95;772,11;746,47;742,43;803,60;764,67;838,81;771,71;798,95;845,03;843,53;842,41;852,45;824,78;825,73;845,91;815,24;952,24;855,58;834,81;867,31;885,47;833,59;815,95;821,01;870,13;827,22;861,12;862,07;894,65;832,53;833,10;857,09;873,74;859,61;860,97;872,73;877,02;897,52;890,47;948,06;936,86;920,47;902,39;922,75;990,12;952,04;939,48;924,23;989,79;1036,17;1063,62;972,76;1040,79;1070,36;1027,50;1014,52;979,01;1033,65;1070,31;1062,36;988,76;1071,33;994,40;1039,16;1041,61;1006,61;949,22;1023,43;972,21;1017,03;1013,62;945,22;937,68;963,38;927,09;939,19;1056,38;950,53;965,64;846,38;965,52;936,57;958,21;995,71;1047,79;952,64;1059,26;1039,00;1023,98;1127,75;1067,91;1058,23;1003,20;1046,96;1046,22;1035,32;1023,88;1036,34;1036,07;1117,95;1065,19;1063,57;1062,41;1096,68;1272,72;1386,79;1344,79;1424,88;1292,77;1461,22;1254,49;1188,88;1514,05;1497,55;1367,16;1395,99;1519,65;1412,28;1430,05;1687,94;909,25
"21 Maranhão";511,28;544,02;551,71;543,93;535,25;538,12;549,40;544,25;556,80;557,60;543,14;609,71;596,84;626,16;612,34;614,14;599,64;594,99;613,92;623,31;626,58;614,93;625,99;642,39;617,29;602,04;610,57;616,88;617,84;623,65;621,34;627,04;605,31;614,26;622,70;608,08;612,68;621,89;615,90;622,29;639,72;624,88;627,84;636,66;643,37;638,17;629,64;626,59;619,13;650,15;658,20;676,26;676,12;690,87;707,39;686,00;689,33;710,06;717,34;706,83;704,13;692,91;710,91;704,59;757,01;727,47;735,92;733,24;733,24;738,55;726,60;748,36;745,77;739,34;742,83;726,44;708,96;772,45;733,48;752,89;745,01;764,58;754,80;751,97;718,84;751,85;715,83;725,89;757,72;745,42;765,10;762,54;780,14;758,59;773,74;775,41;775,62;739,96;749,68;757,92;758,49;786,33;822,87;770,87;771,79;810,42;834,04;791,63;859,35;756,90;791,43;784,33;775,94;770,26;784,74;805,03;777,41;830,00;764,79;793,47;748,03;763,43;785,88;776,37;746,60;767,26;770,31;778,06;785,69;772,79;761,13;806,82;807,87;776,01;796,74;787,46;794,66;808,92;816,76;843,40;820,93;836,98;838,25;843,08;817,36;849,83;852,15;912,31;1082,32;1223,03;1159,76;1036,21;956,44;1001,19;987,98;1005,57;964,15;1009,86;1207,22;1446,86;1418,45;1413,67;1482,71;1330,03;1302,72;761,68
"22 Piauí";492,52;516,44;536,23;548,58;519,54;531,20;530,46;528,06;542,72;562,36;526,30;595,48;576,64;573,83;591,14;609,72;621,50;609,68;605,22;590,69;601,01;576,31;592,13;634,68;612,89;608,62;613,69;642,58;626,39;607,39;607,24;632,35;622,60;613,61;644,07;614,05;614,02;596,60;649,45;671,08;659,46;651,45;658,13;650,91;631,29;658,15;665,54;688,87;660,90;662,33;677,50;655,18;670,05;678,35;709,02;691,83;687,70;711,83;747,79;664,87;755,65;680,29;726,41;744,65;734,62;747,35;789,00;751,49;743,69;731,53;774,20;734,17;724,52;744,74;770,02;783,24;776,29;786,15;779,37;827,47;839,52;784,49;815,85;816,05;813,87;847,58;846,24;802,13;805,74;824,29;839,82;854,85;801,34;859,36;799,92;851,83;853,90;811,89;837,23;852,80;839,28;854,09;868,64;877,39;838,72;872,34;870,83;889,54;848,24;883,62;893,06;858,36;872,83;905,78;867,58;891,87;885,66;904,51;886,30;905,02;885,31;910,51;902,07;894,10;896,61;888,46;909,83;921,55;901,56;907,55;907,96;934,53;893,92;945,18;906,30;967,46;963,88;951,60;943,81;965,99;946,35;959,36;970,70;973,66;928,27;979,33;921,33;1006,02;1015,88;1124,59;1385,17;1724,65;1394,34;1416,48;1263,35;1361,15;1309,18;1275,50;1360,06;1722,15;1768,04;1757,92;1720,19;1558,36;1353,76;819,15
"23 Ceará";521,34;652,79;682,15;693,60;701,85;718,34;722,51;670,76;721,74;701,45;701,21;874,92;802,90;839,40;823,29;795,33;830,71;812,40;813,65;816,09;820,51;814,55;824,87;818,05;808,30;835,35;839,39;837,90;827,32;837,43;818,60;860,30;854,22;819,20;850,44;869,01;845,21;838,18;847,02;846,33;834,99;856,94;849,47;876,11;889,23;913,05;887,69;895,42;890,65;946,99;926,37;905,32;910,57;937,74;947,86;970,79;984,75;984,92;943,56;978,62;986,39;1001,62;966,14;1017,11;995,32;978,05;1034,09;1002,60;1072,33;1026,62;1066,69;1051,49;1096,93;1032,13;1022,90;1019,40;1050,08;1037,97;1088,87;1062,82;1069,05;1045,52;1022,75;1075,42;1088,33;1079,90;1087,87;1066,04;1039,85;1110,35;1095,17;1112,60;1092,28;1078,81;1176,92;1101,28;1104,36;1121,48;1065,67;1093,99;1090,62;1149,14;1149,73;1180,97;1184,32;1163,57;1153,39;1176,17;1123,58;1158,98;1156,27;1094,06;1149,22;1168,96;1162,07;1175,64;1190,37;1198,76;1198,04;1191,98;1166,89;1161,09;1129,13;1108,84;1121,36;1109,80;1142,44;1145,77;1142,68;1115,64;1151,69;1156,97;1115,48;1123,30;1095,49;1093,59;1149,75;1149,81;1178,91;1151,85;1146,15;1155,22;1183,37;1165,37;1157,81;1228,49;1145,52;1295,58;1362,05;1508,48;1485,23;1703,16;1560,75;1514,10;1465,13;1406,35;1396,32;1445,53;1643,91;1798,93;1952,51;2181,74;2087,18;1906,76;1985,08;1068,54
