city,date,epidemiological_week,estimated_population,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,new_confirmed,new_deaths
São José dos Campos,2020-03-18,202012,729737.0,False,1,0.13704,2020-03-18,0.0,0,1,1,0
São José dos Campos,2020-03-19,202012,729737.0,True,1,0.13704,2020-03-18,0.0,0,2,0,0
Taubaté,2020-03-19,202012,317915.0,False,1,0.31455,2020-03-19,0.0,0,1,1,0
São José dos Campos,2020-03-20,202012,729737.0,False,1,0.13704,2020-03-20,0.0,0,3,0,0
Taubaté,2020-03-20,202012,317915.0,False,1,0.31455,2020-03-20,0.0,0,2,0,0
São José dos Campos,2020-03-21,202012,729737.0,True,1,0.13704,2020-03-20,0.0,0,4,0,0
Taubaté,2020-03-21,202012,317915.0,True,1,0.31455,2020-03-20,0.0,0,3,0,0
São José dos Campos,2020-03-22,202013,729737.0,True,1,0.13704,2020-03-20,0.0,0,5,0,0
Taubaté,2020-03-22,202013,317915.0,True,1,0.31455,2020-03-20,0.0,0,4,0,0
São José dos Campos,2020-03-23,202013,729737.0,True,1,0.13704,2020-03-20,0.0,0,6,0,0
Taubaté,2020-03-23,202013,317915.0,True,1,0.31455,2020-03-20,0.0,0,5,0,0
São José dos Campos,2020-03-24,202013,729737.0,True,1,0.13704,2020-03-20,0.0,0,7,0,0
Taubaté,2020-03-24,202013,317915.0,True,1,0.31455,2020-03-20,0.0,0,6,0,0
São José dos Campos,2020-03-25,202013,729737.0,False,2,0.27407,2020-03-25,0.0,0,8,1,0
São Sebastião,2020-03-25,202013,90328.0,False,2,2.21415,2020-03-25,0.0,0,1,2,0
Taubaté,2020-03-25,202013,317915.0,False,1,0.31455,2020-03-25,0.0,0,7,0,0
São José dos Campos,2020-03-26,202013,729737.0,False,2,0.27407,2020-03-26,0.0,0,9,0,0
São Sebastião,2020-03-26,202013,90328.0,False,2,2.21415,2020-03-26,0.0,0,2,0,0
Taubaté,2020-03-26,202013,317915.0,False,1,0.31455,2020-03-26,0.0,0,8,0,0
São José dos Campos,2020-03-27,202013,729737.0,False,4,0.54814,2020-03-27,0.0,0,10,2,0
São Sebastião,2020-03-27,202013,90328.0,False,2,2.21415,2020-03-27,0.0,0,3,0,0
Taubaté,2020-03-27,202013,317915.0,False,1,0.31455,2020-03-27,0.0,0,9,0,0
São José dos Campos,2020-03-28,202013,729737.0,True,4,0.54814,2020-03-27,0.0,0,11,0,0
São Sebastião,2020-03-28,202013,90328.0,True,2,2.21415,2020-03-27,0.0,0,4,0,0
Taubaté,2020-03-28,202013,317915.0,True,1,0.31455,2020-03-27,0.0,0,10,0,0
São José dos Campos,2020-03-29,202014,729737.0,True,4,0.54814,2020-03-27,0.0,0,12,0,0
São Sebastião,2020-03-29,202014,90328.0,True,2,2.21415,2020-03-27,0.0,0,5,0,0
Taubaté,2020-03-29,202014,317915.0,True,1,0.31455,2020-03-27,0.0,0,11,0,0
São José dos Campos,2020-03-30,202014,729737.0,False,5,0.68518,2020-03-30,0.0,0,13,1,0
São Sebastião,2020-03-30,202014,90328.0,False,2,2.21415,2020-03-30,0.0,0,6,0,0
Taubaté,2020-03-30,202014,317915.0,False,1,0.31455,2020-03-30,0.0,0,12,0,0
Cachoeira Paulista,2020-03-31,202014,33581.0,False,1,2.97787,2020-03-31,0.0,0,1,1,0
São José dos Campos,2020-03-31,202014,729737.0,False,9,1.23332,2020-03-31,0.0,0,14,4,0
São Sebastião,2020-03-31,202014,90328.0,False,2,2.21415,2020-03-31,0.0,0,7,0,0
Taubaté,2020-03-31,202014,317915.0,False,1,0.31455,2020-03-31,0.0,0,13,0,0
Cachoeira Paulista,2020-04-01,202014,33581.0,False,1,2.97787,2020-04-01,0.0,0,2,0,0
São José dos Campos,2020-04-01,202014,729737.0,False,12,1.64443,2020-04-01,0.0,0,15,3,0
São Sebastião,2020-04-01,202014,90328.0,False,3,3.32123,2020-04-01,0.3333,1,8,1,1
Taubaté,2020-04-01,202014,317915.0,False,1,0.31455,2020-04-01,0.0,0,14,0,0
Cachoeira Paulista,2020-04-02,202014,33581.0,False,1,2.97787,2020-04-02,0.0,0,3,0,0
São José dos Campos,2020-04-02,202014,729737.0,False,14,1.9185,2020-04-02,0.0,0,16,2,0
São Sebastião,2020-04-02,202014,90328.0,False,3,3.32123,2020-04-02,0.0,0,9,0,-1
Taubaté,2020-04-02,202014,317915.0,False,1,0.31455,2020-04-02,0.0,0,15,0,0
Cachoeira Paulista,2020-04-03,202014,33581.0,False,1,2.97787,2020-04-03,0.0,0,4,0,0
São José dos Campos,2020-04-03,202014,729737.0,False,20,2.74071,2020-04-03,0.0,0,17,6,0
São Sebastião,2020-04-03,202014,90328.0,False,3,3.32123,2020-04-03,0.3333,1,10,0,1
Taubaté,2020-04-03,202014,317915.0,False,1,0.31455,2020-04-03,0.0,0,16,0,0
Cachoeira Paulista,2020-04-04,202014,33581.0,False,1,2.97787,2020-04-04,0.0,0,5,0,0
Santa Branca,2020-04-04,202014,14857.0,False,2,13.46167,2020-04-04,0.0,0,1,2,0
São José dos Campos,2020-04-04,202014,729737.0,False,24,3.28886,2020-04-04,0.0,0,18,4,0
São Sebastião,2020-04-04,202014,90328.0,False,3,3.32123,2020-04-04,0.3333,1,11,0,0
Taubaté,2020-04-04,202014,317915.0,False,1,0.31455,2020-04-04,0.0,0,17,0,0
Cachoeira Paulista,2020-04-05,202015,33581.0,False,1,2.97787,2020-04-05,0.0,0,6,0,0
Santa Branca,2020-04-05,202015,14857.0,False,2,13.46167,2020-04-05,0.0,0,2,0,0
São José dos Campos,2020-04-05,202015,729737.0,False,30,4.11107,2020-04-05,0.0,0,19,6,0
São Sebastião,2020-04-05,202015,90328.0,False,3,3.32123,2020-04-05,0.3333,1,12,0,0
Taubaté,2020-04-05,202015,317915.0,False,1,0.31455,2020-04-05,0.0,0,18,0,0
Cachoeira Paulista,2020-04-06,202015,33581.0,False,1,2.97787,2020-04-06,0.0,0,7,0,0
Caraguatatuba,2020-04-06,202015,123389.0,False,1,0.81045,2020-04-06,0.0,0,1,1,0
Santa Branca,2020-04-06,202015,14857.0,False,2,13.46167,2020-04-06,0.0,0,3,0,0
São José dos Campos,2020-04-06,202015,729737.0,False,48,6.57771,2020-04-06,0.0,0,20,18,0
São Sebastião,2020-04-06,202015,90328.0,False,3,3.32123,2020-04-06,0.3333,1,13,0,0
Taubaté,2020-04-06,202015,317915.0,False,2,0.6291,2020-04-06,0.0,0,19,1,0
Cachoeira Paulista,2020-04-07,202015,33581.0,False,1,2.97787,2020-04-07,0.0,0,8,0,0
Caraguatatuba,2020-04-07,202015,123389.0,False,2,1.62089,2020-04-07,0.5,1,2,1,1
Pindamonhangaba,2020-04-07,202015,170132.0,False,1,0.58778,2020-04-07,0.0,0,1,1,0
Santa Branca,2020-04-07,202015,14857.0,False,2,13.46167,2020-04-07,0.5,1,4,0,1
São José dos Campos,2020-04-07,202015,729737.0,False,61,8.35918,2020-04-07,0.0,0,21,13,0
São Sebastião,2020-04-07,202015,90328.0,False,3,3.32123,2020-04-07,0.3333,1,14,0,0
Taubaté,2020-04-07,202015,317915.0,False,4,1.2582,2020-04-07,0.0,0,20,2,0
Cachoeira Paulista,2020-04-08,202015,33581.0,False,1,2.97787,2020-04-08,0.0,0,9,0,0
Caraguatatuba,2020-04-08,202015,123389.0,False,2,1.62089,2020-04-08,0.5,1,3,0,0
Caçapava,2020-04-08,202015,95018.0,False,2,2.10486,2020-04-08,0.0,0,1,2,0
Jacareí,2020-04-08,202015,235416.0,False,1,0.42478,2020-04-08,0.0,0,1,1,0
Pindamonhangaba,2020-04-08,202015,170132.0,False,1,0.58778,2020-04-08,0.0,0,2,0,0
Santa Branca,2020-04-08,202015,14857.0,False,2,13.46167,2020-04-08,0.5,1,5,0,0
São José dos Campos,2020-04-08,202015,729737.0,False,77,10.55175,2020-04-08,0.0,0,22,16,0
São Sebastião,2020-04-08,202015,90328.0,False,3,3.32123,2020-04-08,0.3333,1,15,0,0
Taubaté,2020-04-08,202015,317915.0,False,5,1.57275,2020-04-08,0.0,0,21,1,0
Cachoeira Paulista,2020-04-09,202015,33581.0,False,1,2.97787,2020-04-09,0.0,0,10,0,0
Caraguatatuba,2020-04-09,202015,123389.0,False,2,1.62089,2020-04-09,0.5,1,4,0,0
Caçapava,2020-04-09,202015,95018.0,False,3,3.1573,2020-04-09,0.0,0,2,1,0
Guaratinguetá,2020-04-09,202015,122505.0,False,1,0.81629,2020-04-09,0.0,0,1,1,0
Ilhabela,2020-04-09,202015,35591.0,False,1,2.8097,2020-04-09,0.0,0,1,1,0
Jacareí,2020-04-09,202015,235416.0,False,1,0.42478,2020-04-09,0.0,0,2,0,0
Pindamonhangaba,2020-04-09,202015,170132.0,False,1,0.58778,2020-04-09,0.0,0,3,0,0
Santa Branca,2020-04-09,202015,14857.0,False,2,13.46167,2020-04-09,0.5,1,6,0,0
São José dos Campos,2020-04-09,202015,729737.0,False,81,11.09989,2020-04-09,0.0123,1,23,4,1
São Sebastião,2020-04-09,202015,90328.0,False,4,4.42831,2020-04-09,0.25,1,16,1,0
Taubaté,2020-04-09,202015,317915.0,False,5,1.57275,2020-04-09,0.0,0,22,0,0
Cachoeira Paulista,2020-04-10,202015,33581.0,False,1,2.97787,2020-04-10,0.0,0,11,0,0
Caraguatatuba,2020-04-10,202015,123389.0,False,2,1.62089,2020-04-10,0.5,1,5,0,0
Caçapava,2020-04-10,202015,95018.0,False,3,3.1573,2020-04-10,0.0,0,3,0,0
Guaratinguetá,2020-04-10,202015,122505.0,False,1,0.81629,2020-04-10,0.0,0,2,0,0
Ilhabela,2020-04-10,202015,35591.0,False,1,2.8097,2020-04-10,0.0,0,2,0,0
Jacareí,2020-04-10,202015,235416.0,False,1,0.42478,2020-04-10,0.0,0,3,0,0
Pindamonhangaba,2020-04-10,202015,170132.0,False,1,0.58778,2020-04-10,0.0,0,4,0,0
Santa Branca,2020-04-10,202015,14857.0,False,2,13.46167,2020-04-10,0.5,1,7,0,0
São José dos Campos,2020-04-10,202015,729737.0,False,85,11.64803,2020-04-10,0.0118,1,24,4,0
São Sebastião,2020-04-10,202015,90328.0,False,4,4.42831,2020-04-10,0.25,1,17,0,0
